date,travel insurance,single trip travel insurance,travel insurance comparison
2024-10-27,31,0,0
2024-11-03,28,0,0
2024-11-10,29,0,0
2024-11-17,28,0,0
2024-11-24,27,0,0
2024-12-01,27,0,0
2024-12-08,27,0,0
2024-12-15,33,0,0
2024-12-22,28,0,0
2024-12-29,38,0,0
2025-01-05,51,0,0
2025-01-12,55,0,0
2025-01-19,52,0,0
2025-01-26,45,0,0
2025-02-02,46,0,0
2025-02-09,45,0,0
2025-02-16,43,0,0
2025-02-23,44,0,0
2025-03-02,50,0,0
2025-03-09,52,0,0
2025-03-16,51,0,0
2025-03-23,51,0,0
2025-03-30,52,0,0
2025-04-06,48,0,0
2025-04-13,47,0,0
2025-04-20,51,0,0
2025-04-27,51,0,0
2025-05-04,55,0,0
2025-05-11,54,0,0
2025-05-18,60,0,0
2025-05-25,58,0,0
2025-06-01,62,0,0
2025-06-08,55,0,0
2025-06-15,56,0,0
2025-06-22,63,0,0
2025-06-29,60,0,0
2025-07-06,63,0,0
2025-07-13,76,0,0
2025-07-20,80,1,0
2025-07-27,73,1,0
2025-08-03,71,0,0
2025-08-10,64,0,0
2025-08-17,67,0,0
2025-08-24,64,1,0
2025-08-31,63,0,0
2025-09-07,58,0,0
2025-09-14,52,0,0
2025-09-21,53,0,0
2025-09-28,54,0,0
2025-10-05,44,0,0
2025-10-12,42,0,0
2025-10-19,41,0,0
2025-10-26,37,0,0
2025-11-02,36,0,0
2025-11-09,37,0,0
2025-11-16,35,0,0
2025-11-23,33,0,0
2025-11-30,37,0,1
2025-12-07,38,0,1
2025-12-14,36,0,1
2025-12-21,35,0,1
2025-12-28,50,0,1
2026-01-04,59,0,1
2026-01-11,58,0,1
2026-01-18,64,0,1
2026-01-25,59,0,1
2026-02-01,61,0,2
2026-02-08,63,0,4
2026-02-15,83,1,7
2026-02-22,88,1,5
2026-03-01,100,1,1
2026-03-08,69,0,1
2026-03-15,70,0,1
